iter	Passed	Remaining
755	1046	337
756	1047	336
757	1049	334
758	1050	333
759	1051	332
760	1053	330
761	1054	329
762	1056	328
763	1057	326
764	1058	325
765	1060	323
766	1061	322
767	1062	320
768	1063	319
769	1064	318
770	1065	316
771	1066	315
772	1067	313
773	1069	312
774	1070	310
775	1072	309
776	1073	308
777	1074	306
778	1075	305
779	1077	303
780	1078	302
781	1079	300
782	1080	299
783	1081	298
784	1083	296
785	1084	295
786	1085	293
787	1086	292
788	1087	290
789	1089	289
790	1091	288
791	1092	286
792	1093	285
793	1094	284
794	1095	282
795	1097	281
796	1098	279
797	1099	278
798	1100	276
799	1101	275
800	1102	274
801	1104	272
802	1105	271
803	1108	270
804	1109	268
805	1110	267
806	1111	265
807	1112	264
808	1113	262
809	1115	261
810	1116	260
811	1117	258
812	1118	257
813	1120	255
814	1121	254
815	1122	253
816	1123	251
817	1125	250
818	1126	248
819	1127	247
820	1129	246
821	1130	244
822	1132	243
823	1134	242
824	1135	240
825	1136	239
826	1137	237
827	1138	236
828	1139	235
829	1140	233
830	1142	232
831	1144	231
832	1145	229
833	1146	228
834	1147	226
835	1149	225
836	1151	224
837	1152	222
838	1153	221
839	1154	219
840	1155	218
841	1156	217
842	1157	215
843	1158	214
844	1160	212
845	1162	211
846	1163	210
847	1164	208
848	1165	207
849	1166	205
850	1167	204
851	1169	203
852	1170	201
853	1171	200
854	1172	198
855	1173	197
856	1174	196
857	1175	194
858	1177	193
859	1179	191
860	1180	190
861	1181	189
862	1182	187
863	1183	186
864	1184	184
865	1185	183
866	1186	182
867	1188	180
868	1189	179
869	1190	177
870	1191	176
871	1192	175
872	1194	173
873	1195	172
874	1197	171
875	1198	169
876	1199	168
877	1200	166
878	1201	165
879	1202	163
880	1203	162
881	1204	161
882	1206	159
883	1207	158
884	1208	156
885	1209	155
886	1210	154
887	1211	152
888	1212	151
889	1214	150
890	1216	148
891	1217	147
892	1218	145
893	1219	144
894	1220	143
895	1221	141
896	1223	140
897	1224	139
898	1225	137
899	1226	136
900	1227	134
901	1228	133
902	1229	132
903	1230	130
904	1232	129
905	1234	128
906	1235	126
907	1236	125
908	1238	123
909	1239	122
910	1240	121
911	1241	119
912	1242	118
913	1244	117
914	1245	115
915	1246	114
916	1247	112
917	1248	111
918	1250	110
919	1251	108
920	1252	107
921	1253	106
922	1254	104
923	1255	103
924	1257	101
925	1258	100
926	1259	99
927	1260	97
928	1261	96
929	1262	95
930	1263	93
931	1265	92
932	1266	90
933	1267	89
934	1269	88
935	1270	86
936	1271	85
937	1272	84
938	1273	82
939	1274	81
940	1275	79
941	1277	78
942	1278	77
943	1279	75
944	1280	74
945	1281	73
946	1282	71
947	1283	70
948	1284	69
949	1286	67
950	1288	66
951	1289	65
952	1291	63
953	1292	62
954	1294	60
955	1295	59
956	1296	58
957	1297	56
958	1298	55
959	1299	54
960	1300	52
961	1301	51
962	1302	50
963	1304	48
964	1306	47
965	1307	46
966	1308	44
967	1310	43
968	1311	41
969	1312	40
970	1313	39
971	1314	37
972	1315	36
973	1316	35
974	1318	33
975	1319	32
976	1322	31
977	1324	29
978	1326	28
979	1327	27
980	1328	25
981	1330	24
982	1332	23
983	1334	21
984	1336	20
985	1337	18
986	1339	17
987	1343	16
988	1344	14
989	1346	13
990	1347	12
991	1349	10
992	1350	9
993	1352	8
994	1353	6
995	1354	5
996	1355	4
997	1357	2
998	1360	1
999	1362	0
